Date,No. of Cases,No. of Deaths,New Cases,New Death
2020-03-02,5,0,0.0,0.0
2020-03-03,6,0,1.0,0.0
2020-03-04,28,0,22.0,0.0
2020-03-05,30,0,2.0,0.0
2020-03-06,31,0,1.0,0.0
2020-03-07,34,0,3.0,0.0
2020-03-08,39,0,5.0,0.0
2020-03-09,44,0,5.0,0.0
2020-03-10,50,0,6.0,0.0
2020-03-11,60,0,10.0,0.0
2020-03-12,74,1,14.0,1.0
2020-03-13,81,2,7.0,1.0
2020-03-14,84,2,3.0,0.0
2020-03-15,110,2,26.0,0.0
2020-03-16,114,2,4.0,0.0
2020-03-17,137,3,23.0,1.0
2020-03-18,151,3,14.0,0.0
2020-03-19,173,4,22.0,1.0
2020-03-20,223,4,50.0,0.0
2020-03-21,315,4,92.0,0.0
2020-03-22,360,7,45.0,3.0
2020-03-23,468,9,108.0,2.0
2020-03-24,519,10,51.0,1.0
2020-03-25,606,10,87.0,0.0
2020-03-26,694,16,88.0,6.0
2020-03-27,834,19,140.0,3.0
2020-03-28,918,19,84.0,0.0
2020-03-29,1024,27,106.0,8.0
2020-03-30,1251,32,227.0,5.0
2020-03-31,1397,35,146.0,3.0
2020-04-01,1834,41,437.0,6.0
2020-04-02,2069,53,235.0,12.0
2020-04-03,2547,62,478.0,9.0
2020-04-04,3072,75,525.0,13.0
2020-04-05,3577,83,505.0,8.0
2020-04-06,4281,111,704.0,28.0
2020-04-07,4789,124,508.0,13.0
2020-04-08,5274,149,485.0,25.0
2020-04-09,5865,169,591.0,20.0
2020-04-10,6761,206,896.0,37.0
2020-04-11,7529,242,768.0,36.0
2020-04-12,8447,273,918.0,31.0
2020-04-13,9352,324,905.0,51.0
2020-04-14,10815,353,1463.0,29.0
2020-04-15,11933,392,1118.0,39.0
2020-04-16,12759,420,826.0,28.0
2020-04-17,13835,452,1076.0,32.0
2020-04-18,14792,488,957.0,36.0
2020-04-19,16116,519,1324.0,31.0
2020-04-20,17656,559,1540.0,40.0
2020-04-21,18985,603,1329.0,44.0
2020-04-22,20471,652,1486.0,49.0
2020-04-23,21700,686,1229.0,34.0
2020-04-24,23452,723,1752.0,37.0
2020-04-25,24942,779,1490.0,56.0
2020-04-26,26917,826,1975.0,47.0
2020-04-27,28380,886,1463.0,60.0
2020-04-28,29974,937,1594.0,51.0
2020-04-29,31787,1008,1813.0,71.0
2020-04-30,33610,1075,1823.0,67.0
2020-05-01,35365,1152,1755.0,77.0
2020-05-02,37776,1223,2411.0,71.0
2020-05-03,40263,1306,2487.0,83.0
2020-05-04,42836,1389,2573.0,83.0
2020-05-05,46711,1583,3875.0,194.0
2020-05-06,49391,1694,2680.0,111.0
2020-05-07,52952,1783,3561.0,89.0
2020-05-08,56342,1886,3390.0,103.0
2020-05-09,59662,1981,3320.0,95.0
2020-05-10,62939,2109,3277.0,128.0
2020-05-11,67152,2206,4213.0,97.0
2020-05-12,70756,2293,3604.0,87.0
2020-05-13,74281,2415,3525.0,122.0
2020-05-14,78003,2549,3722.0,134.0
2020-05-15,81970,2649,3967.0,100.0
2020-05-16,85940,2752,3970.0,103.0
2020-05-17,90927,2872,4987.0,120.0
2020-05-18,96169,3029,5242.0,157.0
2020-05-19,101139,3163,4970.0,134.0
2020-05-20,106750,3303,5611.0,140.0
2020-05-21,112359,3435,5609.0,132.0
2020-05-22,118447,3583,6088.0,148.0
2020-05-23,125101,3720,6654.0,137.0
2020-05-24,131868,3867,6767.0,147.0
2020-05-25,138845,4021,6977.0,154.0
2020-05-26,145380,4167,6535.0,146.0
2020-05-27,151767,4337,6387.0,170.0
2020-05-28,158333,4531,6566.0,194.0
2020-05-29,165799,4706,7466.0,175.0
2020-05-30,173763,4971,7964.0,265.0
2020-05-31,182143,5164,8380.0,193.0
2020-06-01,190535,5394,8392.0,230.0
2020-06-02,198706,5598,8171.0,204.0
2020-06-03,207615,5815,8909.0,217.0
2020-06-04,216919,6075,9304.0,260.0
2020-06-05,226770,6348,9851.0,273.0
2020-06-06,236657,6642,9887.0,294.0
2020-06-07,246628,6929,9971.0,287.0
2020-06-08,256611,7200,9983.0,271.0
2020-06-09,266598,7471,9987.0,271.0
2020-06-10,276583,7745,9985.0,274.0
2020-06-11,286579,8102,9996.0,357.0
2020-06-12,297535,8498,10956.0,396.0
2020-06-13,308993,8884,11458.0,386.0
2020-06-14,320922,9195,11929.0,311.0
2020-06-15,332424,9520,11502.0,325.0
2020-06-16,343091,9900,10667.0,380.0
2020-06-17,354065,11903,10974.0,2003.0
2020-06-18,366946,12237,12881.0,334.0
2020-06-19,380532,12573,13586.0,336.0
2020-06-20,395048,12948,14516.0,375.0
2020-06-21,410461,13254,15413.0,306.0
2020-06-22,425282,13699,14821.0,445.0
2020-06-23,440215,14011,14933.0,312.0
2020-06-24,456183,14476,15968.0,465.0
2020-06-25,473105,14894,16922.0,418.0
2020-06-26,490401,15301,17296.0,407.0
2020-06-27,508953,15685,18552.0,384.0
2020-06-28,528859,16095,19906.0,410.0
2020-06-29,548318,16475,19459.0,380.0
2020-06-30,566840,16893,18522.0,418.0
